Artist,Song,Album,Date
BETWEEN FRIENDS,we just need some time together,blushing!,"April 5, 2019 at 11:34AM"
Daily Bread,Big Beat Ignition: Denver,Moreland Ave Blues,"April 5, 2019 at 11:47AM"
Twiddle,PLUMP (Chapters 1 & 2),Lost In The Cold,"April 5, 2019 at 11:48AM"
"The Floozies, Gibbz, Eric Benny Bloom",Funk Jesus,Nothing to Lose,"April 5, 2019 at 12:29PM"
"Bassnectar, Sunru",Reflective (Part 4),Leprechauns Arise (feat. Sunru) - Mothership Mix,"April 5, 2019 at 12:34PM"
The Motet,Highly Compatible,Highly Compatible,"April 5, 2019 at 12:42PM"
Still Woozy,Lava,Lava,"April 5, 2019 at 12:46PM"
SAFIA,Starlight,Starlight,"April 5, 2019 at 02:10PM"
SAFIA,"Listen to Soul, Listen to Blues","Listen to Soul, Listen to Blues","April 5, 2019 at 03:30PM"
Little People,Mickey Mouse Operation,Unsaid,"April 5, 2019 at 03:32PM"
SAFIA,Internal,"Together, Locked Safely","April 5, 2019 at 03:36PM"
SAFIA,Cellophane Rainbow,Cellophane Rainbow,"April 5, 2019 at 03:41PM"
SAFIA,Internal,Make Them Wheels Roll,"April 5, 2019 at 03:45PM"
Bad Suns,Mystic Truth,Away We Go,"April 5, 2019 at 11:48PM"
"Col3trane, GoldLink",Superpowers (with GoldLink),Superpowers (with GoldLink),"April 6, 2019 at 05:48PM"
Choker,Forever & A Few,Lucky,"April 6, 2019 at 05:53PM"
Omar Apollo,Friends,Friends,"April 6, 2019 at 06:02PM"
Arlo Parks,Cola,Cola,"April 6, 2019 at 06:03PM"
"Flume, Reo Cragun",Friends,Friends,"April 6, 2019 at 06:17PM"
Yaeji,One More,One More,"April 6, 2019 at 06:20PM"
"Kasbo, TENDER",Places We Don't Know,Aldrig Mer (feat. TENDER),"April 6, 2019 at 06:41PM"
Skott,Porcelain / Wolf,Wolf,"April 6, 2019 at 07:01PM"
Vancouver Sleep Clinic,Therapy Phase 02,405,"April 6, 2019 at 07:10PM"
EXES,Before You Go,Peckham,"April 6, 2019 at 07:13PM"
Aquilo,ii,Silent Movies,"April 6, 2019 at 07:18PM"
Northeast Party House,Redbone (triple j Like A Version),Redbone (triple j Like A Version),"April 6, 2019 at 07:58PM"
Sir Sly,"Don't You Worry, Honey",Astronaut,"April 6, 2019 at 08:00PM"
"Ekali, Opia",Past Life (feat. Opia),Past Life (feat. Opia),"April 6, 2019 at 08:08PM"
Meadowlark,Nocturnes,About You Now,"April 6, 2019 at 08:48PM"
Declan J Donovan,Fallen so Young,Fallen so Young,"April 6, 2019 at 08:51PM"
Ed Prosek,Flesh & Blood Part 1,The Mountain,"April 6, 2019 at 08:54PM"
Honeywater,Wonder,So Little Time,"April 6, 2019 at 09:31PM"
Transviolet,Transviolet,Girls Your Age,"April 6, 2019 at 09:34PM"
Kid Bloom,Sugarcoat,Sugarcoat,"April 7, 2019 at 10:16AM"
Leebo Freeman,Just Because,Just Because,"April 7, 2019 at 04:26PM"
Tierra Whack,Only Child,Only Child,"April 7, 2019 at 04:28PM"
Barrie,Saturated,Saturated,"April 7, 2019 at 04:36PM"
JID,DiCaprio 2,Off Da Zoinkys,"April 7, 2019 at 04:39PM"
Arlo Parks,Super Sad Generation,I Like,"April 7, 2019 at 05:00PM"
Polo & Pan,Caravelle,Nanã,"April 7, 2019 at 05:02PM"
Hope Tala,Lovestained,Lovestained,"April 7, 2019 at 05:39PM"
Cautious Clay,Table of Context,SIDEWINDER,"April 7, 2019 at 05:43PM"
Rayana Jay,Love Me Like,If You Won’t,"April 7, 2019 at 05:48PM"
A$AP Rocky,Sundress,Sundress,"April 7, 2019 at 05:53PM"
duendita,direct line to My Creator,pray,"April 7, 2019 at 06:00PM"
Sampha,Timmy's Prayer,Timmy's Prayer,"April 7, 2019 at 06:06PM"
Santi,Sparky,Sparky,"April 7, 2019 at 06:10PM"
BenjiFlow,Deep End,Deep End,"April 7, 2019 at 06:24PM"
Goth Babe,Weekend Friend,Weekend Friend,"April 7, 2019 at 06:26PM"
Grimes,Pretty Dark (Demo),Pretty Dark - Demo,"April 7, 2019 at 06:34PM"
"Mereba, JID",Sandstorm (feat. JID),Sandstorm (feat. JID),"April 7, 2019 at 07:19PM"
Saba,Excited,Excited,"April 7, 2019 at 07:21PM"
Jamila Woods,EARTHA,EARTHA,"April 7, 2019 at 08:15PM"
"EARTHGANG, Young Thug",Proud Of U (feat. Young Thug),Proud Of U (feat. Young Thug),"April 7, 2019 at 08:17PM"
infinite bisous,Period,Period,"April 7, 2019 at 08:22PM"
Shlohmo,The End - Single,The End,"April 7, 2019 at 09:37PM"
Benny Sings,City Pop,Dreamin’,"April 7, 2019 at 09:41PM"
SiR,November,D'Evils,"April 7, 2019 at 09:44PM"
Easy Life,Spaceships Mixtape,Sunday,"April 7, 2019 at 09:47PM"
"Tobi Lou, zack villere",tobi lou and the Juice,Birthday Boy (feat. Zack Villere),"April 7, 2019 at 09:50PM"
"Vampire Weekend, Steve Lacy",Sunflower / Big Blue,Sunflower (feat. Steve Lacy),"April 7, 2019 at 09:55PM"
Kari Faux,CRY 4 HELP,MEDICATED,"April 7, 2019 at 09:56PM"
Joey Purp,QUARTERTHING,Elastic,"April 7, 2019 at 10:46PM"
Orion Sun,S T R E T C H,S T R E T C H,"April 7, 2019 at 10:47PM"
Kemba,Deadass,Deadass,"April 7, 2019 at 10:53PM"
Tierra Whack,Wasteland,Wasteland,"April 7, 2019 at 10:54PM"
"Billy Lemos, Stevan",Self,Can't Be // How U Feel,"April 7, 2019 at 11:09PM"
Koffee,Raggamuffin,Raggamuffin,"April 7, 2019 at 11:18PM"
Smino,NOIR,KLINK,"April 7, 2019 at 11:22PM"
Obongjayar,Frens,Frens,"April 7, 2019 at 11:23PM"
"UMI, Yeek",Lullaby,Lullaby,"April 7, 2019 at 11:29PM"
Notaker,Born In The Flames,Born In The Flames,"April 8, 2019 at 11:10AM"
Echos,Even Though You're Gone,Saints,"April 8, 2019 at 02:26PM"
"Seven Lions, Echos",Cold Skin,Cold Skin,"April 8, 2019 at 03:41PM"
Khalid,Free Spirit,Talk,"April 8, 2019 at 08:57PM"
Jerry Folk,Sneeze,Oioi,"April 8, 2019 at 09:18PM"
Jerry Folk,Sneeze,Carpool,"April 8, 2019 at 09:18PM"
Jerry Folk,Sneeze,Sneeze,"April 8, 2019 at 09:18PM"
Jerry Folk,Sneeze,Most People,"April 8, 2019 at 09:18PM"
The Electric Sons,Golden Age - EP,Golden Age,"April 10, 2019 at 08:02AM"
Moon Taxi,Let The Record Play,Good As Gold,"April 10, 2019 at 08:04AM"
Owl City,The Midsummer Station,Gold,"April 10, 2019 at 08:10AM"
"Manchester Orchestra, Slow Dancer",The Gold (Slow Dancer Remix),The Gold - Slow Dancer Remix,"April 10, 2019 at 08:14AM"
BROCKHAMPTON,SATURATION,GOLD,"April 10, 2019 at 08:20AM"
"Golden Vessel, Woodes",Vines,Vines (Feki Remix),"April 10, 2019 at 11:42AM"
Shoffy,Lenses,Let Go Today,"April 10, 2019 at 11:48AM"
Crooked Colours,Vera,Vera,"April 10, 2019 at 02:33PM"
The Marías,I Don't Know You,I Don't Know You,"April 10, 2019 at 07:08PM"
